match	n	tag	per_adj	base	pref	revised_match
diperansertai	1	diperansertai<x>_X--				
diperantaraias	1	diperantaraias<x>_X--				
diperantaraimesir	1	diperantaraimesir<x>_X--				
diperantarainorwegia	1	diperantarainorwegia<x>_X--				
diperantaraiprancis	1	diperantaraiprancis<x>_X--				
diperantaun	1	diperantaun<x>_X--				
diperantuan	1	diperantuan<x>_X--				
diperaperadilakan	1	diperaperadilakan<x>_X--				
diperatikan	1	diperatikan<x>_X--				
diperaturan	1	diperaturan<x>_X--				
diperbahaharui	1	diperbahaharui<x>_X--				
diperbahantukan	1	diperbahantukan<x>_X--				
diperbaharuai	1	diperbaharuai<x>_X--				
diperbahuri	1	diperbahuri<x>_X--				
diperbahuris	1	diperbahuris<x>_X--				
diperbahurui	1	diperbahurui<x>_X--				
diperbaiaki	1	diperbaiaki<x>_X--				
